City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,saudarkrokur,65.7461,-19.6394,4.36,75,57,16.98,IS,1731467027
91,cidreira,-30.1811,-50.2056,16.45,67,81,2.93,BR,1731467029
92,carnarvon,-24.8667,113.6333,27.27,50,44,4.61,AU,1731467030
93,waiuku,-37.25,174.75,19.81,77,98,3.12,NZ,1731467031
94,misratah,32.3754,15.0925,21.3,70,100,2.22,LY,1731467032
95,tura,25.5198,90.2201,24.9,61,1,1.03,IN,1731467033
96,tolanaro,-25.0319,46.9987,25.04,94,75,0.0,MG,1731467034
97,yuzhno-kurilsk,44.0306,145.8556,4.15,55,93,10.43,RU,1731467035
98,albany,42.6001,-73.9662,2.41,58,5,1.79,US,1731466882
99,atafu village,-8.5421,-172.5159,28.64,69,0,6.21,TK,1731467037
100,mount gambier,-37.8333,140.7667,18.38,45,19,5.44,AU,1731467038
101,al hasakah,36.5024,40.7477,14.02,42,0,3.85,SY,1731467039
102,ponta delgada,37.7333,-25.6667,19.4,82,20,5.66,PT,1731467040
103,lihue,21.9789,-159.3672,25.41,80,52,6.87,US,1731467041
104,nadym,65.5333,72.5167,-17.99,97,99,5.09,RU,1731467043
105,kidal,18.4411,1.4078,21.52,18,97,4.08,ML,1731467044
106,siwa oasis,29.2041,25.5195,16.99,67,99,2.59,EG,1731467045
107,taro,-8.3862,115.28,31.24,43,1,1.71,ID,1731467046
108,bom conselho,-9.1697,-36.6797,19.3,91,8,3.46,BR,1731467047
109,cardigan,52.0847,-4.6591,6.61,85,84,1.83,GB,1731467048
110,el granada,37.5027,-122.4694,12.9,79,40,5.14,US,1731467050
111,zaozersk,69.4005,32.4476,1.72,88,100,8.92,RU,1731467051
112,klyuchi,52.2667,79.1667,-8.68,77,100,5.54,RU,1731467052
113,badger,64.8,-147.5333,-16.77,96,96,0.53,US,1731467054
114,nicoya,10.1483,-85.452,23.06,98,100,0.47,CR,1731467055
115,wenatchee,47.4235,-120.3103,10.02,70,100,0.45,US,1731467056
116,tchollire,8.4022,14.1698,23.0,53,58,0.46,CM,1731467057
117,qaqortoq,60.7167,-46.0333,-0.24,92,100,7.94,GL,1731467058
118,tsiombe,-25.3,45.4833,22.34,92,100,1.96,MG,1731467059
119,taiynsha,53.8478,69.7639,-8.6,94,100,6.91,KZ,1731467060
120,sofifi,0.7349,127.576,29.11,70,72,0.59,ID,1731467061
121,mareeba,-17.0,145.4333,35.16,26,7,4.85,AU,1731467062
122,kayangel,8.0823,134.7173,28.06,75,91,1.47,PW,1731467063
123,vadso,70.0744,29.7487,4.45,77,100,9.54,NO,1731467064
124,reggane,26.7158,0.1714,20.6,37,61,2.79,DZ,1731467065
125,yellowknife,62.456,-114.3525,-9.21,98,100,4.12,CA,1731467066
126,lautoka,-17.6167,177.4667,29.92,70,40,7.2,FJ,1731466808
127,nenjiang,49.1833,125.2167,1.75,44,5,6.25,CN,1731467068
128,torchiarolo,40.4842,18.0525,15.87,66,100,5.54,IT,1731467070
129,port alfred,-33.5906,26.891,16.21,85,78,2.24,ZA,1731467071
130,margaret river,-33.95,115.0667,22.98,45,56,2.06,AU,1731467072
131,selfoss,63.9331,-20.9971,5.58,78,96,9.88,IS,1731467073
132,cerro,-27.0745,-48.711,19.12,70,100,1.34,BR,1731467074
133,port mathurin,-19.6833,63.4167,24.38,81,67,7.66,MU,1731467075
134,nabire,-3.3667,135.4833,29.37,70,66,1.44,ID,1731467076
135,enewetak,11.3474,162.3373,28.67,77,66,6.08,MH,1731467077
136,nova sintra,14.8667,-24.7167,26.3,68,11,4.32,CV,1731467078
137,iskateley,67.6803,53.1512,-6.88,95,100,4.29,RU,1731467079
138,bethel,41.3712,-73.414,4.56,57,0,1.79,US,1731467080
139,oxelosund,58.6706,17.1015,-0.79,100,76,2.06,SE,1731467081
140,sorong,-0.8833,131.25,28.91,74,49,3.05,ID,1731467017
141,onega,63.9061,38.1404,0.27,89,99,4.48,RU,1731467083
142,thunder bay,48.4001,-89.3168,3.99,80,0,2.06,CA,1731467086
143,mitsamiouli,-11.3847,43.2844,26.76,80,4,3.03,KM,1731467087
144,kapit,2.0167,112.9333,30.86,65,79,0.69,MY,1731467088
145,callao,-12.0667,-77.15,19.16,77,75,5.14,PE,1731466921
146,gadzhiyevo,69.2551,33.3362,1.52,91,100,8.41,RU,1731467090
147,camamu,-13.9447,-39.1039,23.54,95,37,1.77,BR,1731466965
148,kalix,65.853,23.1565,4.04,94,98,7.38,SE,1731467092
149,rasony,55.9089,28.8126,-0.42,77,47,1.34,BY,1731467093
150,stanley,54.868,-1.6985,4.93,77,43,1.88,GB,1731467094
151,porto novo,6.4965,2.6036,25.44,86,74,0.63,BJ,1731467095
152,port lincoln,-34.7333,135.8667,19.14,58,7,7.46,AU,1731467096
153,northam,51.0333,-4.2167,8.12,83,36,4.16,GB,1731467097
154,turtas,58.9417,69.1325,-12.46,94,92,2.97,RU,1731467098
155,puerto ayora,-0.7393,-90.3518,21.97,86,31,1.79,EC,1731467099
156,kone,-21.0595,164.8658,30.3,49,63,0.99,NC,1731467101
157,cill airne,52.05,-9.5167,6.03,79,2,1.06,IE,1731467102
158,anadyr,64.75,177.4833,-1.72,74,40,10.0,RU,1731467104
159,nemuro,43.3236,145.575,4.91,54,55,11.55,JP,1731467105
160,kuressaare,58.2481,22.5039,5.97,96,100,1.54,EE,1731467106
161,malvan,16.0667,73.4667,26.94,62,93,3.5,IN,1731467069
162,thompson,55.7435,-97.8558,5.09,75,100,4.63,CA,1731466885
163,quinhamel,11.8833,-15.85,25.87,59,100,2.43,GW,1731467109
164,gaalkacyo,6.7697,47.4308,24.38,76,5,3.97,SO,1731467110
165,new norfolk,-42.7826,147.0587,15.51,69,88,2.12,AU,1731467111
166,el jadid,33.2549,-8.506,18.66,78,1,5.28,MA,1731466967
167,inari,68.906,27.0288,1.82,79,97,6.23,FI,1731466993
168,saint-philippe,-21.3585,55.7679,23.42,77,8,3.58,RE,1731467114
169,yoloten,37.2989,62.3597,10.25,84,100,4.06,TM,1731467115
170,bondo,3.8146,23.6866,19.88,99,87,0.87,CD,1731467116
171,bentiu,9.2333,29.8333,24.42,69,73,1.74,SS,1731467118
172,puerto baquerizo moreno,-0.9,-89.6,20.88,75,51,4.51,EC,1731467119
173,labrador city,52.9463,-66.9114,-9.34,73,20,4.47,CA,1731467120
174,san patricio,28.017,-97.5169,21.97,64,0,3.24,US,1731467121
175,zahedan,29.4963,60.8629,8.95,43,0,0.0,IR,1731467122
176,kemi,65.8596,24.8228,4.87,93,100,7.2,FI,1731467123
177,tahe,52.3333,124.7333,-4.06,72,100,1.13,CN,1731467124
178,baishishan,43.5833,127.5667,7.69,32,2,0.54,CN,1731467117
179,punta arenas,-53.15,-70.9167,10.06,81,75,5.66,CL,1731467127
180,mar del plata,-38.0023,-57.5575,12.83,68,0,2.24,AR,1731466842
181,ad dabbah,18.05,30.95,21.1,24,0,4.31,SD,1731467129
182,yakeshi,49.2833,120.7333,0.6,49,47,2.76,CN,1731467130
183,chiredzi,-21.05,31.6667,20.89,91,100,1.54,ZW,1731467132
184,kibakwe,-6.7167,36.3667,18.66,86,8,1.45,TZ,1731467133
